,const,MRI1,MRI2,MRI3,MRI4,MRI5,MRI6,MRI7,O1,B1,B2,B3,B4,B5,B6,B7,MEI1,MEI2,MEI3,MEI4,MEII1,MEO3,EA1,EA2,EA3,EA4,EA5,EB1,EB2,EB3,EB4,EC1,EC2,EC3,EC4,HSK,DUN,HVE,HAJ,LOB,STR,TRA,TVR,BRI,BRII,MEI1x,MEO1x,MEO2x,MEO3x,MEO4x,MEO5x,CSZ,HSKx,BS,MRI1x,MRI2x,MRI3x,MRI4x,MRI5x,MRI6x,MRI7x,MRII1x,MRII2x,MRII3x,MRII4x,MRII5x,MRII6x,MRII7x,DUNx,HAJx,LOBx,STRx,TRAx,TVRx,BRIx,BRIIx,V. Němčice,Sviňomazy,Měcholupy,Bylany,Černá za Bory,Podolí,Dobříň,Třeboradice,Třanovice,Kolín,Děhylov,Lobodice SMP,Barchov,Strážovice,Lodhéřov,Štolmíř,Makotřasy,Bukovany,Krupá,Dub,Pánov,Zvěstov,Bezměrov,Bartoušov,Lobodice JMP,Rybí,Háje,Drahelčice,"PZP Štramberk MT1, MT2","PZP Štramberk MT3, MT4",DSO zbytek,MS Bečov,Budyně Segnor,Čepro Hněvice,Čížkovice Lafarge,Lovochemie,Paskov,Holcim,CEnergy,TSO
count,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0,1826.0
mean,1.0,70209937.65977933,65410901.12021217,104336391.57603978,111280574.0641511,95396330.05844079,103968829.1233539,71155531.63405806,9170214.536144579,3558556.7327491785,4562901.115005476,8910736.07064622,61580.35377875137,9539949.336259585,5919849.031915663,3222046.1624041623,11449.48904709748,4022748.7170996713,16252198.645125959,134309.0375449069,11049964.447973713,6438095.199277656,10286597.75037678,23355645.815903064,12358373.809663745,6355147.162694414,6316476.313507667,15369912.482645674,24719190.65979939,21936350.615606043,25958103.63690212,7144030.441933735,31915932.271082953,21273692.827775568,24095162.980551478,8682835.723986857,28272961.919602603,25641580.59511633,32719590.613957368,29122310.828504708,27137874.841624454,2500040.9146993426,2535755.5517437016,21771377.0109529,4208240.056407448,12399987.500169769,34435.31542387733,3723934.457407995,7067295.941366923,3308689.9619671414,4065747.4984008763,4164055.406514786,3256234.2074063527,8675799.681739321,1740606.8128554218,194710.82650273823,2653038.8317452073,86968218.84480466,489996.0022675362,9.60812584970901,911.6114748156908,181.42168674698794,13505093.777813563,11520607.749647932,-176.51750206756606,9117689.091570836,5065822.23902737,609505.8773798504,2525874.4098540633,28567238.140701048,2605446.2368856817,29283029.610368088,2943219.4785954156,30550391.32796883,2335075.6199336117,26590901.101450354,2119501.354386226,32837455.189363264,2609939.4637694936,29977855.435360268,2898432.570771073,28235386.472480725,7315969.244374005,6873091.265897126,5656992.642130339,2409606.6933260695,4946474.753519715,1274915.5539285622,4633830.24314862,14862419.894852135,4544489.551597482,11633628.527524099,38887954.48907686,3989454.1069392115,5287845.974589265,21571.54940580504,11136592.60246769,4754790.217682914,2749686.9266653885,9277287.754463855,10168597.728305588,11527862.939324753,15911933.319612266,8003331.159111171,9097888.735164294,860007.7609885568,12897046.852472069,13472146.602766704,4380273.109118291,6641032.399168127,17165425.71822946,2733919.9891577214,6002.380268346111,7742067.167562431,88113.95105531217,4660670.263445236
std,0.0,76016725.61011367,68979562.76637463,63716107.12887223,62219141.13713336,68623489.60727678,70999977.11748442,77639072.33467309,21742706.657262262,12458698.882468626,12709546.761436777,17047185.525330752,680364.2321209849,8664586.822725562,5233031.2623922,4346660.841677445,5294.53521564858,2987678.7494576774,6412591.860059752,240368.30623475922,11589152.41257806,4034076.505801467,21290958.28034967,32538270.409101382,6356989.398544942,6400605.727107299,5032518.409289176,7125478.378787858,44282508.34678564,41800147.2379778,45648864.85143086,26645255.505269416,48477433.1893961,40979806.66967749,44463245.01952536,28258329.209389534,46693575.81960254,44945176.12895013,48896066.59896028,47862097.266628966,46395462.690878734,8397583.38387546,8832510.0793227,31146509.713196833,9639656.64606866,25396727.363743413,82910.5365278855,1692854.2190806388,6252510.2682216875,1929941.748617273,7018041.386072082,6502134.934169533,5391073.427756559,7493300.354283384,3443935.2633636273,169331.3769867475,13109132.368918758,34690689.964577615,5633941.086492934,6455.572354000144,43971.94341856727,4022.494139335315,28140647.457963806,26561143.810912818,3590.7102888074332,24628184.337139744,19171164.08227233,6095277.779680844,14924323.3583651,44492231.17707991,15220148.55099376,44712441.1055297,15744279.594415614,45501206.25297807,14363617.471968506,44946085.46456069,13319952.379385207,46255396.9352858,14484584.584980618,43581460.737956405,14791605.3054122,42397654.20866115,25831540.72727035,24994521.0949449,22848656.574225552,15520086.777086958,21999498.148741085,11175667.81200954,21310293.38858075,13718076.216078838,3874779.0223906646,6934953.369427444,25376427.823484894,6465916.938226471,8563804.392231213,33701.7739242117,8338419.7931686845,5056684.889775697,6222477.238248151,14338354.732890282,16334784.891131096,5004019.693211159,9267218.92006647,14663075.270283904,16189895.673088767,974723.4308747032,21156854.393884085,19294662.847074393,7675077.846013008,7579125.147872651,12120243.974589624,1457151.729002222,5444.4418611174315,9384667.545497784,88130.21701382367,2844478.6019387394
min,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3548269.0,0.0,0.0,1003857.09900001,0.0,0.0,0.0,0.0,0.0,22508.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81368.0835932947,-165974.537537806,-152712.488545564,0.0,0.0,0.0,-113310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10449.1446552114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405.75,0.0,6101972.25,11.0,0.0,1657445.535000015,0.0,0.0,2075950.84475,0.0,0.0,4555731.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7448.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815545.69425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33082.213561559474,0.0,0.0,0.0,0.0,340050.73274999997,0.0,0.0,0.0,923.75,0.0
10%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5910.0,0.0,7656383.5,75.0,0.0,1951508.3150000148,0.0,0.0,4212506.214,0.0,0.0,7062518.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021169.0855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32727.5,0.0,21260891.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723286.3665,6797205.453707125,0.0,0.0,0.0,1173560.0625,0.0,0.0,0.0,0.0,4847288.5995000005,1022044.6235,0.0,0.0,56909.074986973,0.0,0.0,0.0,0.0,2479411.193,1005569.04,0.0,0.0,2844.5,1041319.2
25%,1.0,0.0,0.0,72366240.57207234,92786161.3418591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7140.25,1136723.22,11651502.75,150.0,0.0,2702398.8832499976,0.0,0.0,6949931.3975,0.0,2581865.332,10405810.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2901596.4367500003,0.0,2153240.9414999997,0.0,0.0,0.0,0.0,0.0,149949.45475,0.0,75303662.6954989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2344.25,0.0,7001186.37975,19711523.385006472,0.0,0.0,0.0,3918701.201,0.0,0.0,0.0,0.0,8703819.83525,8388877.263,0.0,0.0,121788.61757953276,0.0,0.0,0.0,0.0,7345638.816749999,1700791.46475,449.73525,0.0,17684.75,2476836.236
50%,1.0,2029581.30193184,109065.65566303965,130435877.9353715,134592610.6251535,120843864.1336545,138181368.5260955,0.0,0.0,0.0,0.0,0.0,0.0,8887591.5495,7066311.987,0.0,10076.5,3762669.0415000003,15559787.5,20509.605499999998,4163161.0,6056973.41250007,0.0,0.0,11974388.965,6155817.571,5049377.500499999,14568765.1285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18627.7365,3986167.511,5908363.5585,3689810.0379999997,0.0,0.0,0.0,7891085.2615,0.0,169746.148,0.0,94980821.93675485,0.0,0.0,0.0,0.0,2570.21671876483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17642807.0,5299563.7645,11080504.2115,34839183.5199913,0.0,0.0,0.0,10200299.346,2534479.705,0.0,0.0,0.0,12264100.4365,15983660.399999999,0.0,0.0,585057.9919411975,0.0,0.0,0.0,2406617.236,13726513.8385,2566110.158,4900.0,112099.567,64885.5,4476373.630000001
75%,1.0,151500692.76896477,137938397.69012275,146383677.90816575,153362152.570381,142662667.437143,159386757.082582,156318341.634563,1601636.0,0.0,0.0,10132427.5,0.0,14830435.32075,9865541.618,6601087.11375,16020.0,6355107.862500001,20687778.0,151145.024,26279345.5,8916418.57424995,21154.13825,46511170.933,18135497.3665,11921230.503,10801848.980999999,20187637.897,14522469.25,0.0,13089422.75,0.0,98876454.25,0.0,0.0,0.0,93827016.25,21866158.5,98446290.75,94671966.25,54934855.0,0.0,0.0,39890618.0,83935.75,1848179.73025,31174.595999999998,4851525.844,13063454.41975,4903177.672499999,8839193.3485,8819608.48725,7508132.570499999,13898624.00275,2312237.37725,187298.19975,0.0,110184383.84297425,0.0,0.0,0.0,0.0,338059.439521752,1115.9309831359674,0.0,0.0,0.0,0.0,0.0,77733720.5290385,0.0,77300031.28686602,0.0,80177818.084842,0.0,70298807.71339814,0.0,82973628.58994243,0.0,79227118.59564772,0.0,75793481.9825727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26841896.25,7663763.3,16260807.768,57929805.46942397,8739661.01925,12337286.013,39343.7845,16155012.9625,9799427.68575,201095.351,21301537.42275,21987300.05975,15029885.06775,21660371.426250003,12993476.05,12866204.34275,1165864.2736403202,21842865.04925,29369009.3215,7166247.140000001,12534889.88625,26178621.522,3892361.97825,10757.17575,15432816.2685,146861.5,6826308.058499999
90%,1.0,172384907.8619005,157190720.7223545,167812512.3898425,172834305.7092635,169483583.09161502,179236912.0388515,173598683.99829048,38051703.0,6675816.5,15977852.0,35355128.0,0.0,22478859.950000003,11880860.3215,9983658.882,18947.0,8618425.683,25120204.0,441792.331,26546727.5,11994757.151999999,44988482.0105,72090531.515,20928415.4305,16035019.714499999,13436420.2095,24913666.6305,107722957.0,104195863.5,108665264.574376,0.0,109889921.5,101996669.5,107871853.0,97780.5,108434832.0,108053754.0,110929941.5,110864281.0,110207696.0,5098305.191500001,15587.84,65698511.0,16129846.0,58493061.4815,53129.8315,5621939.563999999,15725198.227,5508465.3780000005,15847528.123,15080775.346,11302880.432,18882683.6525,7127966.267,380641.092,0.0,121076054.1611405,0.0,0.0,0.0,0.0,73522034.2731426,67044647.30407061,0.0,65426754.5,541074.3645792805,419.697826595301,0.0,103590104.6947375,0.0,104620706.02538049,0.0,107023545.9685415,0.0,102042379.311466,0.0,105851396.5434315,0.0,100972410.88897851,0.0,98517948.72094464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33667518.5,9504313.283,20707829.3275,72045013.44336855,15482617.4805,19770611.2555,73116.5385,23287976.240000002,12020509.921,12584578.16,33231580.0695,37907335.462,17786762.9135,29683126.629,34756734.843,36281441.6175,1823302.750219275,48340315.2645,33522706.078,18501160.93,18213311.722999997,33960677.9525,4598393.0875,13930.003,21886621.609,183932.0,8656719.234
