DATE,Analysed,Reference,vals,HOM
2018-01-01,-593120.0760744773,97895.07228805125,-691015.1483625285,-593120.0760744773
2018-01-02,-664751.5581811629,1019886.6478059441,-1684638.205987107,-664751.5581811629
2018-01-03,900264.4654902257,958790.3302176148,-58525.86472738907,900264.4654902257
2018-01-04,-911840.014512416,515581.4511742741,-1427421.46568669,-911840.014512416
2018-01-05,402522.6178349294,1098878.673774019,-696356.0559390895,402522.6178349294
2018-01-06,-1223254.1570635997,164034.66668490856,-1387288.8237485082,-1223254.1570635997
2018-01-07,-34484.23305141553,496229.3353576809,-530713.5684090964,-34484.23305141553
2018-01-08,-661026.604058858,-215213.79765366018,-445812.8064051978,-661026.604058858
2018-01-09,1366613.0928112306,1506170.2208259255,-139557.1280146949,1366613.0928112306
2018-01-10,-2401412.59360015,557865.5816386491,-2959278.1752387993,-2401412.59360015
2018-01-11,-367429.259893056,1245387.666959539,-1612816.926852595,-367429.259893056
2018-01-12,-1765830.783301469,711233.5071826726,-2477064.2904841416,-1765830.783301469
2018-01-13,-841698.1924368106,690399.1505944282,-1532097.3430312388,-841698.1924368106
2018-01-14,-157304.0126918517,199019.7860235721,-356323.7987154238,-157304.0126918517
2018-01-15,-4579.413606997579,335358.0688936338,-339937.48250063136,-4579.413606997579
2018-01-16,-573875.1955553256,777484.2723298222,-1351359.4678851478,-573875.1955553256
2018-01-17,1186839.244049672,1453974.1180620342,-267134.8740123622,1186839.244049672
2018-01-18,-1271082.0693687163,168553.26205958426,-1439635.3314283006,-1271082.0693687163
2018-01-19,-1461958.2458358966,692222.49396272,-2154180.7397986166,-1461958.2458358966
2018-01-20,548487.5486778058,1103184.1399231106,-554696.5912453048,548487.5486778058
2018-01-21,1095888.7195662297,1060844.0707271248,35044.64883910492,1095888.7195662297
2018-01-22,-676636.4754563533,1359133.7102180235,-2035770.1856743768,-676636.4754563533
2018-01-23,-1684519.3151487075,727420.8148793299,-2411940.1300280374,-1684519.3151487075
2018-01-24,1296825.5357927121,1261780.8869536072,35044.64883910492,1296825.5357927121
2018-01-25,-1031878.55415022,1094704.8473377377,-2126583.4014879577,-1031878.55415022
2018-01-26,354566.79558956996,1208697.2249399573,-854130.4293503873,354566.79558956996
